















































Sep 12, 2022 115.30 115.65 115.00 115.40 115.40 7,545,318
Sep 08, 2022 113.05 113.05 112.40 113.00 113.00 7,117,171
Sep 07, 2022 113.10 113.15 112.10 112.20 112.20 15,488,892
Sep 06, 2022 114.80 115.40 114.25 114.90 114.90 6,476,116
Sep 05, 2022 114.10 114.75 113.70 114.15 114.15 8,878,179
Sep 02, 2022 115.10 115.10 113.85 113.90 113.90 13,994,058
Sep 01, 2022 115.50 115.60 114.75 115.15 115.15 21,061,579
Aug 31, 2022 115.95 117.60 115.80 117.60 117.60 7,045,914
Aug 30, 2022 116.55 117.20 116.20 116.75 116.75 12,155,353
Aug 29, 2022 116.25 116.95 116.00 116.55 116.55 15,775,738
Aug 26, 2022 119.85 120.10 119.45 119.60 119.60 9,959,737
Aug 25, 2022 118.50 119.45 118.45 119.00 119.00 4,893,719
Aug 24, 2022 118.80 118.95 117.65 117.90 117.90 7,063,478
Aug 23, 2022 118.55 119.00 118.20 118.20 118.20 10,325,627
Aug 22, 2022 120.00 120.25 119.75 120.05 120.05 5,007,000
Aug 19, 2022 121.25 122.00 120.90 121.55 121.55 4,026,019
Aug 18, 2022 121.40 121.45 120.95 121.35 121.35 5,272,003
Aug 17, 2022 122.10 122.30 121.80 122.15 122.15 13,854,866
Aug 16, 2022 122.00 122.30 121.90 122.10 122.10 9,872,266
Aug 15, 2022 121.45 122.10 121.25 121.90 121.90 9,547,362
Aug 12, 2022 120.55 121.00 120.30 120.80 120.80 8,424,337
Aug 11, 2022 119.80 120.45 119.60 120.05 120.05 10,728,096
Aug 10, 2022 118.00 118.20 117.50 117.90 117.90 7,222,854
Aug 09, 2022 118.40 119.50 118.00 119.15 119.15 7,884,158
Aug 08, 2022 119.00 119.25 118.30 119.25 119.25 8,691,407
Aug 05, 2022 118.00 119.50 117.90 119.50 119.50 9,309,559
Aug 04, 2022 116.35 116.80 115.20 116.55 116.55 6,849,417
Aug 03, 2022 115.65 116.25 115.50 116.25 116.25 7,840,202
Aug 02, 2022 116.55 116.55 115.10 115.55 115.55 17,694,450
Aug 01, 2022 118.10 118.10 117.20 117.65 117.65 9,504,634
Jul 29, 2022 118.15 118.50 117.65 118.00 118.00 8,030,332
Jul 28, 2022 117.85 117.95 116.90 116.90 116.90 8,307,208
Jul 27, 2022 115.50 116.70 115.15 116.70 116.70 7,917,050
Jul 26, 2022 116.60 116.60 115.30 115.65 115.65 12,623,932
Jul 25, 2022 116.30 116.95 116.00 116.70 116.70 10,543,360
Jul 22, 2022 116.60 117.20 116.30 116.80 116.80 15,614,914
Jul 21, 2022 115.40 116.35 115.00 116.35 116.35 8,803,270
Jul 20, 2022 115.85 116.20 114.70 115.05 115.05 16,836,288
Jul 19, 2022 113.95 114.65 113.60 114.30 114.30 13,251,365
Jul 18, 2022 114.65 114.85 113.95 114.20 114.20 22,207,344
Jul 15, 2022 114.60 115.65 113.75 115.50 115.50 18,555,312
Jul 14, 2022 112.70 114.25 111.80 114.00 114.00 14,750,428
Jul 13, 2022 113.00 113.65 112.60 113.45 113.45 24,824,897
Jul 12, 2022 110.95 110.95 109.15 109.55 109.55 11,133,444
Jul 11, 2022 113.65 113.70 111.85 112.25 112.25 7,572,953
Jul 08, 2022 113.30 113.90 112.30 113.25 113.25 10,177,857
Jul 07, 2022 109.45 112.15 108.55 112.10 112.10 13,433,190
Jul 06, 2022 111.00 111.05 108.45 108.85 108.85 15,611,981
Jul 05, 2022 112.55 112.95 109.00 111.00 111.00 16,214,458
Jul 04, 2022 111.25 112.20 110.00 110.45 110.45 26,442,712
